Run,Bases,population,Super_Population_Code,HapMap_sample_ID,BAM
ERR240195,313822400,JPT,EAS,NA18949,
ERR244716,314057400,TSI,EUR,NA20510,
ERR243615,314072800,CEU,EUR,NA11893,
ERR242205,314114600,TSI,EUR,NA20798,
ERR242285,314298000,TSI,EUR,NA20798,
ERR242325,314500800,TSI,EUR,NA20798,
ERR243115,314566200,CEU,EUR,NA12287,
ERR239694,314579200,LWK,AFR,NA19437,
ERR242243,314653400,TSI,EUR,NA20783,
ERR243510,314953200,CEU,EUR,NA11893,
ERR243552,315009800,CEU,EUR,NA11893,
ERR244676,315018000,TSI,EUR,NA20510,
ERR244710,315236200,TSI,EUR,NA20803,
ERR240210,315301800,JPT,EAS,NA18949,
ERR243548,315303400,CEU,EUR,NA11931,
ERR242251,315321200,TSI,EUR,NA20509,
ERR243481,315333400,CEU,EUR,NA12749,
ERR240298,315355200,JPT,EAS,NA18947,
ERR242691,315419200,TSI,EUR,NA20510,
ERR240366,315430800,CHB,EAS,NA18625,
ERR243573,315450800,CEU,EUR,NA11893,
ERR244596,315510200,TSI,EUR,NA20510,
ERR244556,315879400,TSI,EUR,NA20510,
ERR240770,315948600,TSI,EUR,NA20515,
ERR244670,315987600,TSI,EUR,NA20803,
ERR242125,316034200,TSI,EUR,NA20798,
ERR239705,316084000,LWK,AFR,NA19446,
ERR244590,316187800,TSI,EUR,NA20803,
ERR244242,316254800,JPT,EAS,NA18965,
ERR244550,316372600,TSI,EUR,NA20803,
ERR239697,316432800,LWK,AFR,NA19437,
ERR239688,316470400,LWK,AFR,NA19437,
ERR239720,316502000,LWK,AFR,NA19446,
ERR244516,316560200,TSI,EUR,NA20510,
ERR244774,316599800,TSI,EUR,NA20803,
ERR242244,316661800,TSI,EUR,NA20790,
ERR244636,316833600,TSI,EUR,NA20510,
ERR240246,316836600,JPT,EAS,NA18965,
ERR244240,316901600,JPT,EAS,NA18965,
ERR240781,316961000,TSI,EUR,NA20772,
ERR244510,317038400,TSI,EUR,NA20803,
ERR239685,317197800,LWK,AFR,NA19437,
ERR243468,317238000,CEU,EUR,NA11893,
ERR239682,317294200,LWK,AFR,NA19437,
ERR240165,317467800,JPT,EAS,NA18949,
ERR240225,317471400,JPT,EAS,NA18949,
ERR244436,317637800,TSI,EUR,NA20510,
ERR239679,317667400,LWK,AFR,NA19437,
ERR246090,317746000,JPT,EAS,NA18973,
ERR242730,317849600,TSI,EUR,NA20510,
ERR244234,317856000,JPT,EAS,NA18965,
ERR244231,317866200,JPT,EAS,NA18965,
ERR240259,317923400,JPT,EAS,NA18973,
ERR241184,318019600,TSI,EUR,NA20510,
ERR239723,318046800,LWK,AFR,NA19446,
ERR240180,318141200,JPT,EAS,NA18949,
ERR246079,318224600,JPT,EAS,NA18973,
ERR246017,318307400,JPT,EAS,NA18965,
ERR244630,318384600,TSI,EUR,NA20803,
ERR239708,318534400,LWK,AFR,NA19446,
ERR242250,318561400,TSI,EUR,NA20508,
ERR242768,318640600,TSI,EUR,NA20510,
ERR246053,318661600,JPT,EAS,NA18973,
ERR244775,318687400,TSI,EUR,NA20803,
ERR241264,318712800,TSI,EUR,NA20510,
