"taxon_id","rank","name","parent","count","rank_count","perc"
"1609627","genus","Hydrogenibacillus","Bacillaceae","1","44642","0.000022400430088257694"
"1502725","genus","Effusibacillus","Alicyclobacillaceae","1","44642","0.000022400430088257694"
"2086","genus","Anaeroplasma","Anaeroplasmataceae","1","44642","0.000022400430088257694"
"1472649","genus","Dielma","Erysipelotrichaceae","2","44642","0.00004480086017651539"
"162289","genus","Peptoniphilus","Peptoniphilaceae","1","44642","0.000022400430088257694"
"1257","genus","Peptostreptococcus","Peptostreptococcaceae","1","44642","0.000022400430088257694"
"","genus","other Lactobacillales order","other Lactobacillales order","1","44642","0.000022400430088257694"
"1647175","genus","Aestuariispira","Rhodospirillaceae","1","44642","0.000022400430088257694"
"32012","genus","Thiomonas","Burkholderiales","1","44642","0.000022400430088257694"
"33951","genus","Acetobacterium","Eubacteriaceae","1","44642","0.000022400430088257694"
"1185408","genus","Defluviitalea","Defluviitaleaceae","1","44642","0.000022400430088257694"
"1647","genus","Erysipelothrix","Erysipelotrichaceae","1","44642","0.000022400430088257694"
"283810","genus","Stackebrandtia","Glycomycetaceae","1","44642","0.000022400430088257694"
"13687","genus","Sphingomonas","Sphingomonadaceae","1","44642","0.000022400430088257694"
"29465","genus","Veillonella","Veillonellaceae","1","44642","0.000022400430088257694"
"","genus","other Chromatiales order","other Chromatiales order","2","44642","0.00004480086017651539"
"","genus","other Gammaproteobacteria class","other Gammaproteobacteria class","1","44642","0.000022400430088257694"
"836","genus","Porphyromonas","Porphyromonadaceae","1","44642","0.000022400430088257694"
"42447","genus","Anaerobranca","Proteinivoraceae","1","44642","0.000022400430088257694"
"1481960","genus","Peptoclostridium","Peptostreptococcaceae","1","44642","0.000022400430088257694"
"780","genus","Rickettsia","Rickettsiaceae","1","44642","0.000022400430088257694"
"643949","genus","Ferrithrix","Acidimicrobiaceae","1","44642","0.000022400430088257694"
"2","kingdom","Bacteria","","48465","48465","1"
"74201","phylum","Verrucomicrobia","Bacteria","2279","48454","0.04703430057374004"
"200643","phylum","Bacteroidetes","Bacteria","21392","48454","0.4414908985842242"
"1239","phylum","Firmicutes","Bacteria","24009","48454","0.49550088743963344"
"1224","phylum","Proteobacteria","Bacteria","636","48454","0.013125851322904197"
"1134404","phylum","Ignavibacteriae","Bacteria","5","48454","0.00010319065505427828"
"201174","phylum","Actinobacteria","Bacteria","122","48454","0.00251785198332439"
"1117","phylum","Cyanobacteria","Bacteria","5","48454","0.00010319065505427828"
"544448","phylum","Tenericutes","Bacteria","4","48454","0.00008255252404342263"
"204432","phylum","Acidobacteria","Bacteria","1","48454","0.00002063813101085566"
"200930","phylum","Deferribacteres","Bacteria","1","48454","0.00002063813101085566"
"239935","species","Akkermansia muciniphila","Akkermansia","2274","48454","0.046931109918685765"
"821","species","Bacteroides vulgatus","Bacteroides","6007","48454","0.12397325298220993"
